Time (us),Value
0.00010596439643964396,-7.06832609343125e-05
0.00010597779777977798,-7.066135240513068e-05
0.00010599119911991199,-7.063938058613865e-05
0.00010600460046004601,-7.061734546683372e-05
0.00010601800180018001,-7.05952470370616e-05
0.00010603140314031403,-7.05730852870158e-05
0.00010604480448044805,-7.055086020723741e-05
0.00010605820582058206,-7.052857178861449e-05
0.00010607160716071608,-7.05062200223816e-05
0.00010608500850085009,-7.04838049001195e-05
0.00010609840984098411,-7.04613264137546e-05
0.00010611181118111811,-7.043878455555856e-05
0.00010612521252125213,-7.041617931814779e-05
0.00010613861386138614,-7.03935106944831e-05
0.00010615201520152016,-7.037077867786914e-05
0.00010616541654165417,-7.034798326195411e-05
0.00010617881788178819,-7.032512444072913e-05
0.00010619221922192219,-7.030220220852794e-05
0.00010620562056205621,-7.027921656002638e-05
0.00010621902190219022,-7.0256167490242e-05
0.00010623242324232424,-7.023305499453355e-05
0.00010624582458245825,-7.020987906860062e-05
0.00010625922592259227,-7.01866397084831e-05
0.00010627262726272627,-7.016333691056081e-05
0.00010628602860286029,-7.013997067155301e-05
0.0001062994299429943,-7.011654098851803e-05
0.00010631283128312832,-7.009304785885267e-05
0.00010632623262326233,-7.0069491280292e-05
0.00010633963396339635,-7.00458712509086e-05
0.00010635303530353035,-7.002218776911245e-05
0.00010636643664366437,-6.999844083365021e-05
0.00010637983798379838,-6.997463044360499e-05
0.0001063932393239324,-6.995075659839566e-05
0.0001064066406640664,-6.992681929777674e-05
0.00010642004200420043,-6.990281854183759e-05
0.00010643344334433443,-6.987875433100228e-05
0.00010644684468446845,-6.985462666602892e-05
0.00010646024602460246,-6.983043554800936e-05
0.00010647364736473648,-6.980618097836863e-05
0.00010648704870487048,-6.978186295886465e-05
0.0001065004500450045,-6.975748149158756e-05
0.00010651385138513851,-6.973303657895957e-05
0.00010652725272527253,-6.970852822373418e-05
0.00010654065406540654,-6.968395642899608e-05
0.00010655405540554056,-6.965932119816039e-05
0.00010656745674567456,-6.963462253497246e-05
0.00010658085808580858,-6.960986044350725e-05
0.00010659425942594259,-6.958503492816906e-05
0.00010660766076607661,-6.956014599369087e-05
0.00010662106210621062,-6.953519364513414e-05
0.00010663446344634464,-6.95101778878881e-05
0.00010664786478647864,-6.94850987276696e-05
0.00010666126612661266,-6.945995617052236e-05
0.00010667466746674668,-6.943475022281677e-05
0.00010668806880688069,-6.940948089124937e-05
0.00010670147014701471,-6.938414818284231e-05
0.00010671487148714872,-6.935875210494307e-05
0.00010672827282728274,-6.933329266522382e-05
0.00010674167416741674,-6.930776987168121e-05
0.00010675507550755076,-6.92821837326357e-05
0.00010676847684768477,-6.92565342567313e-05
0.00010678187818781879,-6.923082145293497e-05
0.0001067952795279528,-6.920504533053633e-05
0.00010680868086808682,-6.917920589914703e-05
0.00010682208220822082,-6.915330316870053e-05
0.00010683548354835484,-6.912733714945141e-05
0.00010684888488848885,-6.91013078519752e-05
0.00010686228622862287,-6.907521528716761e-05
0.00010687568756875688,-6.904905946624445e-05
0.0001068890889088909,-6.902284040074085e-05
0.0001069024902490249,-6.899655810251105e-05
0.00010691589158915892,-6.897021258372784e-05
0.00010692929292929293,-6.894380385688218e-05
0.00010694269426942695,-6.891733193478264e-05
0.00010695609560956096,-6.889079683055515e-05
0.00010696949694969498,-6.886419855764236e-05
0.00010698289828982898,-6.883753712980331e-05
0.000106996299629963,-6.881081256111296e-05
0.00010700970097009701,-6.878402486596174e-05
0.00010702310231023103,-6.875717405905508e-05
0.00010703650365036504,-6.873026015541308e-05
0.00010704990499049906,-6.870328317036983e-05
0.00010706330633063306,-6.867624311957327e-05
0.00010707670767076708,-6.864914001898446e-05
0.00010709010901090109,-6.86219738848774e-05
0.00010710351035103511,-6.859474473383829e-05
