Time (us),Value
0.00013165316531653164,-6.192504139451192e-05
0.00013167316731673166,-6.195284510448085e-05
0.00013169316931693168,-6.198048166492337e-05
0.0001317131713171317,-6.200794959066281e-05
0.0001317331733173317,-6.203524741481209e-05
0.00013175317531753176,-6.206237368898992e-05
0.00013177317731773177,-6.208932698353669e-05
0.0001317931793179318,-6.211610588773066e-05
0.0001318131813181318,-6.214270901000398e-05
0.00013183318331833182,-6.216913497815873e-05
0.00013185318531853184,-6.219538243958305e-05
0.00013187318731873186,-6.222145006146711e-05
0.00013189318931893188,-6.224733653101925e-05
0.0001319131913191319,-6.227304055568199e-05
0.00013193319331933194,-6.229856086334813e-05
0.00013195319531953195,-6.232389620257673e-05
0.00013197319731973197,-6.234904534280932e-05
0.000131993199319932,-6.237400707458584e-05
0.000132013201320132,-6.239878020976075e-05
0.00013203320332033202,-6.242336358171905e-05
0.00013205320532053204,-6.244775604559242e-05
0.00013207320732073205,-6.247195647847519e-05
0.00013209320932093207,-6.249596377964049e-05
0.00013211321132113212,-6.251977687075626e-05
0.00013213321332133213,-6.254339469610127e-05
0.00013215321532153215,-6.256681622278127e-05
0.00013217321732173217,-6.259004044094505e-05
0.00013219321932193218,-6.261306636400041e-05
0.0001322132213221322,-6.26358930288303e-05
0.00013223322332233222,-6.265851949600888e-05
0.00013225322532253223,-6.268094485001752e-05
0.00013227322732273225,-6.270316819946096e-05
0.0001322932293229323,-6.27251886772833e-05
0.0001323132313231323,-6.2747005440984e-05
0.00013233323332333233,-6.27686176728341e-05
0.00013235323532353235,-6.279002458009221e-05
0.00013237323732373236,-6.281122539522053e-05
0.00013239323932393238,-6.283221937610095e-05
0.0001324132413241324,-6.285300580625113e-05
0.00013243324332433241,-6.287358399504051e-05
0.00013245324532453243,-6.289395327790642e-05
0.00013247324732473248,-6.291411301657016e-05
0.0001324932493249325,-6.29340625992529e-05
0.0001325132513251325,-6.2953801440892e-05
0.00013253325332533253,-6.297332898335687e-05
0.00013255325532553254,-6.299264469566515e-05
0.00013257325732573256,-6.301174807419871e-05
0.00013259325932593258,-6.303063864291966e-05
0.0001326132613261326,-6.304931595358656e-05
0.00013263326332633264,-6.30677795859704e-05
0.00013265326532653265,-6.308602914807057e-05
0.00013267326732673267,-6.310406427633108e-05
0.0001326932693269327,-6.312188463585659e-05
0.0001327132713271327,-6.313948992062835e-05
0.00013273327332733272,-6.315687985372042e-05
0.00013275327532753274,-6.317405418751561e-05
0.00013277327732773276,-6.319101270392164e-05
0.00013279327932793277,-6.320775521458714e-05
0.00013281328132813282,-6.32242815611177e-05
0.00013283328332833283,-6.324059161529195e-05
0.00013285328532853285,-6.325668527927769e-05
0.00013287328732873287,-6.327256248584784e-05
0.00013289328932893289,-6.32882231985966e-05
0.0001329132913291329,-6.330366741215541e-05
0.00013293329332933292,-6.33188951524091e-05
0.00013295329532953294,-6.333390647671193e-05
0.00013297329732973295,-6.334870147410363e-05
0.000132993299329933,-6.336328026552548e-05
0.00013301330133013301,-6.337764300403631e-05
0.00013303330333033303,-6.339178987502872e-05
0.00013305330533053305,-6.340572109644495e-05
0.00013307330733073307,-6.341943691899309e-05
0.00013309330933093308,-6.343293762636305e-05
0.0001331133113311331,-6.34462235354427e-05
0.00013313331333133312,-6.345929499653378e-05
0.00013315331533153313,-6.34721523935682e-05
0.00013317331733173318,-6.34847961443239e-05
0.0001331933193319332,-6.349722670064103e-05
0.0001332133213321332,-6.350944454863787e-05
0.00013323332333233323,-6.35214502089271e-05
0.00013325332533253324,-6.353324423683166e-05
0.00013327332733273326,-6.354482722260097e-05
0.00013329332933293328,-6.355619979162687e-05
0.0001333133313331333,-6.356736260465977e-05
0.0001333333333333333,-6.357831635802466e-05
0.00013335333533353336,-6.358906178383723e-05
0.00013337333733373337,-6.359959965021979e-05
0.0001333933393339334,-6.360993076151752e-05
0.0001334133413341334,-6.362005595851442e-05
0.00013343334333433342,-6.36299761186494e-05
0.00013345334533453344,-6.363969215623233e-05
0.00013347334733473346,-6.36492050226601e-05
0.00013349334933493348,-6.365851570663275e-05
0.0001335133513351335,-6.366762523436938e-05
0.00013353335333533354,-6.367653466982442e-05
0.00013355335533553355,-6.368524511490344e-05
0.00013357335733573357,-6.369375770967947e-05
0.0001335933593359336,-6.370207363260887e-05
0.0001336133613361336,-6.37101941007475e-05
0.00013363336333633362,-6.371812036996675e-05
0.00013365336533653364,-6.372585373516956e-05
0.00013367336733673366,-6.373339553050656e-05
0.00013369336933693367,-6.374074712959208e-05
0.00013371337133713372,-6.374790994572018e-05
0.00013373337333733373,-6.375488543208083e-05
0.00013375337533753375,-6.376167508197585e-05
0.00013377337733773377,-6.376828042903502e-05
0.00013379337933793378,-6.377470304743215e-05
0.0001338133813381338,-6.378094455210113e-05
0.00013383338333833382,-6.378700659895198e-05
0.00013385338533853383,-6.379289088508702e-05
0.00013387338733873385,-6.379859914901667e-05
0.0001338933893389339,-6.380413317087584e-05
0.0001339133913391339,-6.380949477263973e-05
0.00013393339333933393,-6.381468581834003e-05
0.00013395339533953395,-6.381970821428097e-05
0.00013397339733973396,-6.382456390925531e-05
0.00013399339933993398,-6.382925489476052e-05
0.000134013401340134,-6.383378320521468e-05
0.00013403340334033401,-6.38381509181727e-05
0.00013405340534053403,-6.38423601545423e-05
0.00013407340734073408,-6.384641307880009e-05
